measurement,nominal,high_limit,low_limit,status,units,name,type
1.13997e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.0222e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00002e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.0062e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00079e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.90025e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00688e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.99248e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.98847e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00624e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.95655e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.97329e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.97745e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.97043e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.0044e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.913e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00185e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00257e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.90868e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00726e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00869e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.96973e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.0047e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.99255e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.93641e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00076e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00294e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00953e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00135e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00219e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.98721e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00859e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.9172e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.91997e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.94191e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00601e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.93865e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00094e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00796e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.97169e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.9365e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.91311e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.95643e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00878e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.991e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00503e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.99998e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.9503e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00624e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00045e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.92848e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00538e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00517e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.90132e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00116e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.91971e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.99249e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.94638e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
1.00269e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.91986e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.92829e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.92167e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
9.92434e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c315,CAPACITOR
