measurement,nominal,high_limit,low_limit,status,units,name,type
1.19551e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.16016e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.94785e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.92133e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.93996e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.94983e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00714e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00956e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00403e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.93262e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00056e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00597e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00707e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.9772e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.98044e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.93985e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00543e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00217e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00524e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.95719e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.9224e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.94128e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.95425e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.0093e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.95259e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.96104e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.90885e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.94452e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.95134e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00791e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00462e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00908e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00521e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00427e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00118e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.95358e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00373e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00736e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.90222e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00979e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.90237e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.97647e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.94489e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00374e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00407e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.90889e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00483e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00446e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00037e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.96401e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00661e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.92421e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.98976e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00822e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.0001e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.97237e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00595e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00184e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00112e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00304e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00687e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
1.00364e-07,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
9.92716e-08,1e-07,1.35e-07,6.5e-08,1,F,1%c312,CAPACITOR
