measurement,nominal,high_limit,low_limit,status,units,name,type
1.01577e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.07385e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.97309e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9867e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.96698e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.95816e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00108e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.969e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.90115e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9886e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9794e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00794e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.92135e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00294e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9525e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9265e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.91349e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.96848e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00237e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00835e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.91209e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9271e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.94892e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.92506e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00518e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00187e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.95685e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.99018e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00791e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00331e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.9337e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.98764e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.95276e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.91246e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00452e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.0026e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00285e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.91428e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00222e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.0075e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.90642e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00276e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.0034e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.92854e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00715e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00924e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.997e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00527e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.94783e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.91162e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00224e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.99679e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.95272e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00848e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00094e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.008e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.95004e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.99978e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00292e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.91431e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00721e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
9.98531e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
1.00704e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c311,CAPACITOR
