measurement,nominal,high_limit,low_limit,status,units,name,type
1.11929e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.88126e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.0008e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.93978e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00734e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00746e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00308e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.90346e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00671e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00971e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.9109e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00921e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.0078e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00701e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.94909e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00727e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00836e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00938e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.94324e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.94586e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99533e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00215e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00069e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00205e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.0003e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.9468e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.94075e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00723e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00137e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.91186e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.98323e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00285e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.98764e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99013e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.95722e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.96356e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.0042e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.92454e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.96903e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.91842e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99807e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.0086e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00477e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00553e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.92329e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.95516e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99621e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.91412e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.93767e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00169e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99118e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.97142e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99915e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.99091e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.92147e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.92236e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00146e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00191e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00951e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
1.00255e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.97631e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.95272e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
9.9479e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c317,CAPACITOR
