measurement,nominal,high_limit,low_limit,status,units,name,type
1.14419e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.83209e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.95864e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00158e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00475e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00094e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00769e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00866e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.97362e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.97112e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00551e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.9642e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00766e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00568e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00099e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.92765e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00251e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.92013e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.93339e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.91978e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00793e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00768e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.95354e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00235e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.925e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00556e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.94127e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00366e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00087e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.96625e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.95929e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.9636e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.91187e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.0005e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.0058e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00558e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.92187e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00125e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.99791e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00992e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.92823e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00108e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.0014e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00601e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00603e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.97818e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.99714e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00184e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00358e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00444e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.92377e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00126e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.97842e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.92267e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00971e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.94304e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00373e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00702e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.98314e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00165e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
9.96021e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00356e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
1.00452e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c318,CAPACITOR
