measurement,nominal,high_limit,low_limit,status,units,name,type
9.19844e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.18077e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.93655e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.9847e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00904e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.92497e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.90363e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00513e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00598e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.94914e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.92463e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00063e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.97194e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.95651e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00639e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00803e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.97356e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00473e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00087e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00986e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.0015e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.94218e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.99033e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00124e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.99308e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.98903e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.97929e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.90687e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.93578e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00245e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00884e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.90147e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00104e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.98652e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.98973e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00634e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.0038e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00922e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.96154e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.0028e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00083e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00068e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00543e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.91324e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.91959e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00887e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00942e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00763e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00721e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00142e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.0077e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.95525e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.0098e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.95856e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.90938e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.99368e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.93408e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00317e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.95452e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.97745e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.95273e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
9.95545e-08,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
1.00673e-07,1e-07,1.22e-07,7.8e-08,0,F,1%c313,CAPACITOR
